['BIGC na na na na']
['BILI na na na na']
['BASI na na na na']
['BCAB na na na na']
['BCDA na na na na']
['BCDAW na na na na']
['BIOC na na na na']
['BCRX na na na na']
['BDSI na na na na']
['BDSX na na na na']
['BFRA na na na na']
['BIIB na na na na']
['BHTG na na na na']
['BKYI na na na na']
['BIOL na na na na']
['BLFS na na na na']
['BLRX na na na na']
['BMRN na na na na']
['BMRA na na na na']
['BNGO na na na na']
['BNGOW na na na na']
['BVXV na na na na']
['BNTX na na na na']
['BPTH na na na na']
['BSGM na na na na']
['TECH na na na na']
['BEAT na na na na']
['BIVI na na na na']
['BTAI na na na na']
['BTBT na na na na']
['BJRI na na na na']
['BDTX na na na na']
['BLKB na na na na']
['BL na na na na']
['BKCC na na na na']
['TCPC na na na na']
['BLNK na na na na']
['BLNKW na na na na']
['BLMN na na na na']
['BCOR na na na na']
['BLBD na na na na']
['BHAT na na na na']
['BLUWU na na na na']
['BLUE na na na na']
['BLCT na na na na']
['BKEP na na na na']
['BKEPP na na na na']
['BPMC na na na na']
['ITEQ na na na na']
['BMCH na na na na']
['BSBK na na na na']
['WIFI na na na na']
['BOKF na na na na']
['BOKFL na na na na']
['BNSO na na na na']
['BKNG na na na na']
['BIMI na na na na']
['BRQS na na na na']
['BOMN na na na na']
['BPFH na na na na']
['EPAY na na na na']
['BOWX na na na na']
['BOWXU na na na na']
['BOWXW na na na na']
['BOXL na na na na']
['BBRX na na na na']
['BCLI na na na na']
['BWAY na na na na']
['BREZ na na na na']
['BREZR na na na na']
['BREZW na na na na']
['BCTX na na na na']
['BBI na na na na']
['BDGE na na na na']
['BBIO na na na na']
['BLIN          ","Bridgeline Digital, Inc.","2.68","$11.85M","n/a","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/blin", na na na na']
['BTWN na na na na']
['BTWNU na na na na']
['BTWNW na na na na']
['BWB na na na na']
['BRID na na na 2436450.0000']
['BCOV 14.5855 0.9316 76.6731 5152871.0000']
['BHF 34.4435 -0.0006 na na']
['BHFAL na na na na']
['BHFAN na na na na']
['BHFAO na na na na']
['BHFAP na na na na']
['BRLI na na na na']
['BRLIR na na na na']
['BRLIU na na na na']
['BRLIW na na na na']
['AVGO na na na na']
['AVGOP na na na na']
['BYFC na na na na']
['BWEN na na na na']
['BROG na na na na']
['BROGW na na na na']
['BPY na na na na']
['BPYPN na na na na']
['BPYPO na na na na']
['BPYPP na na na na']
['BPYU na na na na']
['BPYUP na na na na']
['BRKL na na na na']
['BCAC na na na na']
['BCACU na na na na']
['BRKS na na na na']
['BRP na na na na']
['DOOO na na na na']
['BRKR na na na na']
['BMTC na na na na']
['BSQR na na na na']
['BLDR na na na na']
['BHSE na na na na']
['BHSEU na na na na']
['BHSEW na na na na']
['BFI na na na na']
['BFIIW na na na na']
['BTAQ na na na na']
['BTAQU na na na na']
['BTAQW na na na na']
['BNR na na na na']
['BFST na na na na']
['CFFI na na na na']
['CHRW na na na na']
['CCCC na na na na']
['CABA na na na na']
['CDNS na na na na']
['CDZI na na na na']
['CZR na na na na']
['CSTE na na na na']
['CLBS na na na na']
['CHY na na na na']
['CHI na na na na']
['CCD na na na na']
['CHW na na na na']
['CGO na na na na']
['CPZ na na na na']
['CSQ na na na na']
['CAMP na na na na']
['CVGW na na na na']
['CALB na na na na']
['CALA na na na na']
['CALT na na na na']
['CALM na na na na']
['CLMT na na na na']
['CLXT na na na na']
['CMBM na na na na']
['CATC na na na na']
['CAC na na na na']
['CAMT na na na na']
['CAN na na na na']
['CSIQ na na na na']
['CGIX na na na na']
['GOEV na na na na']
['GOEVW na na na na']
['CGC na na na na']
['CPHC na na na na']
['CBNK na na na na']
['CCBG na na na na']
['CPLP na na na na']
['CSWC na na na na']
['CSWCL na na na na']
['CPTA na na na na']
['CPTAG na na na na']
['CPTAL na na na na']
['CFFN na na na na']
['CAPR na na na na']
['CSTR na na na na']
['CPST na na na na']
['CARA na na na na']
['CRDF na na na na']
['CSII na na na na']
['CDLX na na na na']
['CATM na na na na']
['CDNA na na na na']
['CTRE na na na na']
['CARG na na 74.8156 -38189447.0000']
['CTAQU na na na 1337289.0000']
['PRTS 13.4240 -0.3191 47.0591 na']
['TAST na na na na']
['CARE na na na na']
['CARV na na na na']
['CASA na na na na']
['CWST na na na na']
['CASY na na na na']
['CASI na na na na']
['CASS na na na na']
['SAVA na na na na']
['CSTL na na na na']
['CTRM na na na na']
['CATB na na na na']
['CBIO na na na na']
['CPRX na na na na']
['CATY na na na na']
['CVCO na na na na']
['CBFV na na na na']
['CBAT na na na na']
['CBMB na na na na']
['CBOE na na na na']
['CBTX na na na na']
['CDK na na na na']
['CDW na na na na']
['CECE na na na na']
['CELC na na na na']
['CLDX na na na na']
['APOP na na na na']
['APOPW na na na na']
['CLRB na na na na']
['CLRBZ na na na na']
['CLLS na na na na']
['CBMG na na na na']
['CLSN na na na na']
['CELH na na na na']
['CYAD na na na na']
['CETX na na na na']
['CETXP na na na na']
['CETXW na na na na']
['CDEV na na na na']
['CNTG na na na na']
['CENT na na na na']
['CENTA na na na na']
['CVCY na na na na']
['CNTX na na na na']
['CENX na na na na']
['CNBKA na na na na']
['CNTY na na na na']
['CRNT na na na na']
['CERC na na na na']
['CRNC na na na na']
['CERE na na na na']
['CEREW na na na na']
['CERN na na na na']
['CERT na na na na']
['CERS na na na na']
['CEVA na na na na']
['CFIVU na na na na']
['CFBK na na na na']
['CFII na na na na']
['CFIIU na na na na']
['CFIIW na na na na']
['CFACU na na na na']
['CSBR na na na na']
['CHNG na na na na']
['CHNGU na na na na']
['CTHR na na na na']
['GTLS na na na na']
['CHTR na na na na']
['CHKP na na na na']
['CHEK na na na na']
['CHEKZ na na na na']
['CMPI na na na na']
['CKPT na na na na']
['CEMI na na na na']
['CCXI na na na na']
['CHMG na na na na']
['CHFS na na na na']
['CHMA na na na na']
['CSSE na na na na']
['CSSEN na na na na']
['CSSEP na na na na']
['PLCE na na na na']
['CMRX na na na na']
['CAAS na na na na']
['CBPO na na na na']
['CCRC na na na na']
['JRJC na na na na']
['HGSH na na na na']
['CIH na na na na']
['CJJD na na 45.3644 -96688219.0000']
['CLEU 5.5983 -0.4460 36.9297 -4328.0000']
['CHNR 1.3700 0.0354 na na']
['CREG na na na na']
['SXTC na na na na']
['CXDC na na na na']
['PLIN na na na na']
['CD na na na na']
['KDNY na na na na']
['IMOS na na na na']
['COFS na na na na']
['CHPM na na na na']
['CHPMU na na na na']
['CHPMW na na na na']
['CDXC na na na na']
['CHSCL na na na na']
['CHSCM na na na na']
['CHSCN na na na na']
['CHSCO na na na na']
['CHSCP na na na na']
['CHDN na na na na']
['CHUY na na na na']
['CDTX na na na na']
['CIIC na na na na']
['CIICU na na na na']
['CIICW na na na na']
['CMCT na na na na']
['CMCTP na na na na']
['CMPR na na na na']
['CNNB na na na na']
['CINF na na na na']
['CIDM na na na na']
['CTAS na na na na']
['CRUS na na na na']
['CSCO na na na na']
['CTRN na na na na']
['CTXR na na na na']
['CTXRW na na na na']
['CZNC na na na na']
['CZWI na na na na']
['CIZN na na na na']
['CTXS na na na na']
['CHCO na na na na']
['CIVB na na na na']
['CLAR na na na na']
['CLNE na na na na']
['CLSK na na na na']
['CACG na na na na']
['YLDE na na na na']
['LRGE na na na na']
['CLFD na na na na']
['CLRO na na na na']
['CLPT na na na na']
['CLSD na na na na']
['CLIR na na na na']
['CBLI na na na na']
['CLVR na na na na']
['CLVRW na na na na']
['CLVS na na na na']
['CLPS na na na na']
['CMLF na na na na']
['CMLFU na na na na']
['CMLFW na na na na']
['CCMP na na na na']
['CME na na na na']
['CCNE na na na na']
['CCNEP na na na na']
['CNSP na na na na']
['CCB na na na na']
['COKE na na na na']
['COCP na na na na']
['CODA na na na na']
['CCNC na na na na']
['CDXS na na na na']
['CODX na na na na']
['CDAK na na na na']
['CVLY na na na na']
['JVA na na na na']
['COGT na na na na']
['CCOI na na na na']
['CGNX na na na na']
['CTSH na na na na']
['CWBR na na na na']
['COHR na na na na']
['CHRS na na na na']
['COHU na na na na']
['CGRO na na na na']
['CGROU na na na na']
['CGROW na na na na']
['CLCT na na na na']
['COLL na na na na']
['CIGI na na na na']
['CLGN na na na na']
['CBAN na na na na']
['CSCW na na na na']
['COLB na na na na']
['CLBK na na na na']
['COLM na na na na']
['CMCO na na na na']
['CMCSA na na na na']
['CBSH na na na na']
['CVGI na na na na']
['COMM na na na na']
['JCS na na na na']
['ESXB na na na na']
['CFBI na na na na']
['CTBI na na na na']
['CWBC na na na na']
['CVLT na na na na']
['CMPS na na na na']
['CMPX na na na na']
['CGEN na na na na']
['CPSI na na na na']
['CTG na na na na']
['SCOR na na na na']
['COMS na na na na']
['COMSW na na na na']
['CHCI na na na na']
['CMTL na na na na']
['CNXC na na na na']
['CNCE na na na na']
['BBCP na na na na']
['CDOR na na na 4057710.0000']
['CNDT 4.2712 0.2417 66.0963 151099036.0000']
['CFMS 0.6816 -0.0015 40.7132 na']
['CNFR na na na na']
['CNFRL na na na na']
['CNMD na na na na']
['CNOB na na na na']
['CONN na na na na']
['CNSL na na na na']
['CWCO na na na na']
['CNST na na na na']
['ROAD na na na na']
['CPSS na na na na']
['WISH na na na na']
['CFRX na na na na']
['CVLB na na na na']
['CPTI na na na na']
['CONX na na na na']
['CONXU na na na na']
['CONXW na na na na']
['CPRT na na na na']
['CRBP na na na na']
['CORT na na na na']
['CORE na na na na']
['COOLU na na na na']
['CSOD na na na na']
['CRSR na na na na']
['CRTX na na na na']
['CLDB na na na na']
['CRVL na na na na']
['KOR na na na na']
['CRVS na na na na']
['CSGP na na na na']
['COST na na na na']
['CPAH na na na na']
['ICBK na na na na']
['COUP na na na na']
['CVLG na na na na']
['CVET na na na na']
['COWN na na na na']
['COWNL na na na na']
['COWNZ na na na na']
['CPSH na na na na']
['CRAI na na na na']
['CBRL na na na na']
['CRTD na na na na']
['CRTDW na na na na']
['CREX na na na na']
['CREXW na na na na']
['CACC na na na na']
['GLDI na na na na']
['SLVO na na na na']
['USOI na na na na']
['CREE na na na na']
